"college_name","Address","name","city_name","state","pop","lat","long","capital"
"University of Southern Mississippi","118 College Drive # 0001, Hattiesburg, MS 39406-0001","Hattiesburg MS","Hattiesburg","MS",48728,31.31,-89.31,0
"University of Missouri Kansas City","5100 Rockhill Rd, Kansas City, MO 64110","Kansas City MO","Kansas City","MO",441833,39.12,-94.55,0
"Washington University in St Louis","One Brookings Dr, Saint Louis, MO 63130","Saint Louis MO","Saint Louis","MO",315546,38.64,-90.24,0
"Concordia University","800 N Columbia Ave, Seward, NE 68434","Seward NE","Seward","NE",NA,NA,NA,NA
"University of Nebraska Omaha","6001 Dodge St, Omaha, NE 68182-0225","Omaha NE","Omaha","NE",417809,41.26,-96.01,0
"Dartmouth College","207 Parkhurst Hall, Hanover, NH 03755","Hanover NH","Hanover","NH",NA,NA,NA,NA
"Princeton University","One Nassau Hall, Princeton, NJ 08544-0015","Princeton NJ","Princeton","NJ",NA,NA,NA,NA
"Stevens Institute of Technology","Castle Point On Hudson, Hoboken, NJ 07030-5991","Hoboken NJ","Hoboken","NJ",39972,40.74,-74.03,0
"University of New Mexico","University of New Mexico, Albuquerque, NM 87131","Albuquerque NM","Albuquerque","NM",494962,35.12,-106.62,0
"New Mexico State University","P.O. Box 30001, Las Cruces, NM 88003-8001","Las Cruces NM","Las Cruces","NM",81473,32.34,-106.76,0
"Cornell University","300 Day Hall, Ithaca, NY 14853","Ithaca NY","Ithaca","NY",NA,NA,NA,NA
"New York University","70 Washington Square South, New York, NY 10012-1091","New York NY","New York","NY",8124427,40.67,-73.94,0
"Rensselaer Polytechnic Institute","110 8th St, Troy, NY 12180-3590","Troy NY","Troy","NY",47993,42.73,-73.68,0
"Rochester Institute of Technology","1 Lomb Memorial Dr, Rochester, NY 14623-5603","Rochester NY","Rochester","NY",209587,43.17,-77.62,0
"University of Rochester","Wallis Hall, Rochester, NY 14627","Rochester NY","Rochester","NY",209587,43.17,-77.62,0
"Duke University","103 Allen Bldg, Durham, NC 27708","Durham NC","Durham","NC",208426,35.98,-78.91,0
"North Carolina State University","20 Watauga Club Drive, Raleigh, NC 27695","Raleigh NC","Raleigh","NC",350822,35.82,-78.66,2
